unix,date,symbol,open,high,low,close,Volume AGLD,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1665532800000,2022-10-12 00:00:00,AGLD/USDT,0.3155,0.3155,0.3155,0.3155,0,0,0,0,0,0.31500079365079365
1665446400000,2022-10-11 00:00:00,AGLD/USDT,0.3145,0.3155,0.3145,0.3155,99.482355,315.817,49.82013175,157.9085,2,0.31500079365079365
1665360000000,2022-10-10 00:00:00,AGLD/USDT,0.3263,0.3263,0.3263,0.3263,0,0,0,0,0,0.325890608102976018
1665273600000,2022-10-09 00:00:00,AGLD/USDT,0.3263,0.3263,0.3263,0.3263,0,0,0,0,0,0.325890608102976018
1665187200000,2022-10-08 00:00:00,AGLD/USDT,0.3263,0.3263,0.3263,0.3263,0,0,0,0,0,0.325890608102976018
1665100800000,2022-10-07 00:00:00,AGLD/USDT,0.3257,0.3263,0.3257,0.3263,64.93482972,199.2536,44.49327677,136.6071,3,0.325890608102976018
1665014400000,2022-10-06 00:00:00,AGLD/USDT,0.3295,0.338,0.3295,0.338,141.27379605,426.9563,141.27379605,426.9563,3,0.330915640997777237
1664928000000,2022-10-05 00:00:00,AGLD/USDT,0.32,0.3382,0.32,0.3209,104.71468463,319.0236,63.06074148,189.2201,5,0.328349821587568485
1664841600000,2022-10-04 00:00:00,AGLD/USDT,0.3255,0.3255,0.3234,0.3254,129.08400535,396.7034,129.08400535,396.7034,5,0.325391829917020775
1664755200000,2022-10-03 00:00:00,AGLD/USDT,0.3123,0.3219,0.3123,0.3183,156.30101396,493.3959,66.47412576,210.928,10,0.316821664685059984
1664668800000,2022-10-02 00:00:00,AGLD/USDT,0.3214,0.3214,0.3142,0.3143,656.98595531,2081.8062,647.03595769,2050.8479,16,0.315587693480602356
1664582400000,2022-10-01 00:00:00,AGLD/USDT,0.3202,0.3253,0.3178,0.3206,24545.29698425,76479.1863,11945.90775049,37127.3097,338,0.320948951428781686
1664496000000,2022-09-30 00:00:00,AGLD/USDT,0.3262,0.3309,0.3187,0.321,21557.35597847,66945.1161,11187.24327847,34665.9806,227,0.322031669112205848
1664409600000,2022-09-29 00:00:00,AGLD/USDT,0.316,0.3254,0.3138,0.3243,19138.40459902,59709.8673,9554.26639284,29746.9923,259,0.320550853366799681
1664323200000,2022-09-28 00:00:00,AGLD/USDT,0.3174,0.321,0.3063,0.3165,16478.1813689,52303.5138,8262.06773263,26175.7949,225,0.315102757002732036
1664236800000,2022-09-27 00:00:00,AGLD/USDT,0.3318,0.3337,0.3171,0.3179,3697.54639023,11451.1438,1910.99385412,5855.7937,37,0.323036048439716446
1664150400000,2022-09-26 00:00:00,AGLD/USDT,0.3317,0.3317,0.3246,0.3246,872.58182219,2640.6148,1.52347764,4.6934,12,0.33044836338854399
